course_id,course_name,original_course_name,teacher,credits,course_type,course_category,domain,campus,time_slot,location,capacity,current_enrolled,current_enrollment_ratio,popularity_level,rush_advice,grade_limit,major_limit,prerequisite,description,assessment,difficulty,workload,grade_friendly,attendance_required,has_exam,group_work_required,suitable_for,tags,data_source,source_visible_fields,inference_note,screenshot_note,history_2025_limit,history_2025_enrolled,history_2024_limit,history_2024_enrolled,history_2023_limit,history_2023_enrolled,avg_history_enrollment_ratio
GXK2026019,音乐剧与音乐文化,音乐剧与音乐文化,李轶,1.5,公共选修课,人文与社会科学类,人文艺术,主校区,周二第5-6节,教学楼B305,60,60,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,音乐剧与音乐文化以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,70,67,55,56,55,54,0.9857
GXK2026020,影视鉴赏,影视鉴赏,韩亚楠,1.5,公共选修课,人文与社会科学类,人文艺术,西校区,周三第9-10节,综合楼C101,155,155,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,影视鉴赏以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,145,139,160,163,150,148,0.988
GXK2026021,证券投资分析,证券投资分析,钟映姣,1.5,公共选修课,自然科学与工程技术类,社会实务,主校区,周四第7-8节,人文楼204,100,99,0.99,热门,建议第一轮优先选择,无限制,无限制,无,证券投资分析面向社会生活、法律金融或表达沟通场景，强调知识理解与实际案例分析。,课堂参与30%;案例分析30%;期末论文或展示40%,中,中,中,偶尔,否,否,适合对社会实务感兴趣、希望通过公共选修课拓展知识面的学生。,社会科学;案例分析;展示;实用;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,100,95,90,91,100,98,0.9804
GXK2026022,中国旅游地理,中国旅游地理,张春慧,1.5,公共选修课,自然科学与工程技术类,自然环境,西校区,周五第3-4节,理科楼308,60,59,0.9833,热门,建议第一轮优先选择,无限制,无限制,无,中国旅游地理关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,70,66,65,65,70,68,0.9714
GXK2026023,中外名建筑赏析,中外名建筑赏析,胡晓旻,1.5,公共选修课,人文与社会科学类,人文艺术,东校区,周六第1-2节,艺术楼102,60,59,0.9833,热门,建议第一轮优先选择,无限制,无限制,无,中外名建筑赏析以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,55,52,55,55,50,49,0.9752
GXK2026024,中外园林赏析,中外园林赏析,胡晓旻,1.5,公共选修课,自然科学与工程技术类,人文艺术,南校区,周一第9-10节,教学楼A203,60,60,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,中外园林赏析以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,60,58,60,61,70,69,0.9897
GXK2026025,中国古建筑文化与鉴赏,中国古建筑文化与鉴赏,贾菱华,1.5,公共选修课,自然科学与工程技术类,人文艺术,东校区,周二第5-6节,教学楼B305,100,73,0.73,正常,选上概率相对稳定,无限制,无限制,无,中国古建筑文化与鉴赏以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,110,76,105,79,110,79,0.7205
GXK2026026,生命的环境演绎,生命的环境演绎,杜青平,1.5,公共选修课,自然科学与工程技术类,自然环境,东校区,周三第9-10节,综合楼C101,108,108,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,生命的环境演绎关注自然科学、生态环境与现实生活之间的联系，适合希望拓展科学素养的学生。,平时作业30%;案例分析40%;期末报告30%,中,中,中,偶尔,否,否,适合对自然环境感兴趣、希望通过公共选修课拓展知识面的学生。,自然科学;环境;案例分析;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,113,108,103,105,98,97,0.9883
GXK2026027,机器学习,机器学习,陈鹤峰,1.5,公共选修课,自然科学与工程技术类,工程技术,南校区,周四第7-8节,人文楼204,60,27,0.45,冷门,选上概率较高，可作为保底课程,无限制,无限制,无,机器学习介绍工程技术、产业发展或管理决策中的基础概念，适合对科技应用和产业趋势感兴趣的学生。,平时作业30%;案例作业30%;期末报告40%,中高,中高,中,偶尔,否,否,适合对工程技术感兴趣、希望通过公共选修课拓展知识面的学生。,工程技术;产业;案例;报告;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,70,29,65,31,60,26,0.4415
GXK2026028,文化地理,文化地理,郭丽萍,1.5,公共选修课,自然科学与工程技术类,人文艺术,西校区,周五第3-4节,理科楼308,155,155,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,文化地理以艺术、人文或文化赏析为核心，帮助学生拓展审美视野和文化理解能力。,课堂参与30%;赏析报告40%;期末作品或论文30%;无闭卷考试,低,中,中高,偶尔,否,否,适合对人文艺术感兴趣、希望通过公共选修课拓展知识面的学生。,人文;艺术;赏析;论文;无闭卷考试;自然科学与工程技术类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,165,158,150,153,165,163,0.9885
GXK2026029,爱情心理学,爱情心理学,冯博雅,1.5,公共选修课,人文与社会科学类,心理成长,东校区,周一第9-10节,艺术楼102,170,169,0.9941,热门,建议第一轮优先选择,无限制,无限制,无,爱情心理学围绕大学生心理、亲密关系和自我成长展开，适合关注情绪管理、人际关系与个人发展的学生。,平时参与40%;课程小论文40%;课堂互动20%;无闭卷考试,低,低,高,偶尔,否,否,适合对心理成长感兴趣、希望通过公共选修课拓展知识面的学生。,心理;成长;无闭卷考试;给分友好;讨论;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,周一,165,157,160,162,180,177,0.9824
GXK2026030,爱情心理学-2班,爱情心理学,冯博雅,1.5,公共选修课,人文与社会科学类,心理成长,东校区,周四第7-8节,教学楼A203,170,170,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,爱情心理学围绕大学生心理、亲密关系和自我成长展开，适合关注情绪管理、人际关系与个人发展的学生。,平时参与40%;课程小论文40%;课堂互动20%;无闭卷考试,低,低,高,偶尔,否,否,适合对心理成长感兴趣、希望通过公共选修课拓展知识面的学生。,心理;成长;无闭卷考试;给分友好;讨论;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,周四,170,163,175,178,165,163,0.9879
GXK2026031,爱情心理学-3班,爱情心理学,谢忻雯,1.5,公共选修课,人文与社会科学类,心理成长,主校区,周三第9-10节,教学楼B305,170,170,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,爱情心理学围绕大学生心理、亲密关系和自我成长展开，适合关注情绪管理、人际关系与个人发展的学生。,平时参与40%;课程小论文40%;课堂互动20%;无闭卷考试,低,低,高,偶尔,否,否,适合对心理成长感兴趣、希望通过公共选修课拓展知识面的学生。,心理;成长;无闭卷考试;给分友好;讨论;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,周三,165,158,175,178,180,178,0.9879
GXK2026032,爱情心理学-4班,爱情心理学,吴江秋,1.5,公共选修课,人文与社会科学类,心理成长,南校区,周三第9-10节,综合楼C101,60,60,1.0,爆满,非常热门，选课阶段需要优先抢课,无限制,无限制,无,爱情心理学围绕大学生心理、亲密关系和自我成长展开，适合关注情绪管理、人际关系与个人发展的学生。,平时参与40%;课程小论文40%;课堂互动20%;无闭卷考试,低,低,高,偶尔,否,否,适合对心理成长感兴趣、希望通过公共选修课拓展知识面的学生。,心理;成长;无闭卷考试;给分友好;讨论;人文与社会科学类;公共选修课,截图可见记录,课程名;教师;限选人数;已选人数;课程类型;课程分类;学分,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,65,62,50,51,65,64,0.9861
GXK2026033,哲学导论,哲学导论,韩青涵,1.5,公共选修课,人文与社会科学类,人文与社会科学类,东校区,周四第7-8节,人文楼204,50,47,0.94,正常偏热,有一定竞争，建议提前加入备选,无限制,无限制,无,哲学导论是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对人文与社会科学类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;人文与社会科学类,公开通识/公选课目录参考,课程名/方向参考公开通识课资料;其余字段规则生成,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,45,40,40,38,40,37,0.9213
GXK2026034,西方哲学史,西方哲学史,周青磊,1.5,公共选修课,人文与社会科学类,人文与社会科学类,东校区,周五第3-4节,理科楼308,70,31,0.4429,冷门,选上概率较高，可作为保底课程,无限制,无限制,无,西方哲学史是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对人文与社会科学类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;人文与社会科学类,公开通识/公选课目录参考,课程名/方向参考公开通识课资料;其余字段规则生成,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,60,24,80,37,65,28,0.4311
GXK2026035,逻辑与科学方法论,逻辑与科学方法论,李楠雅,1.5,公共选修课,自然科学与工程技术类,自然科学与工程技术类,西校区,周六第1-2节,艺术楼102,80,56,0.7,正常,选上概率相对稳定,无限制,无限制,无,逻辑与科学方法论是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对自然科学与工程技术类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;自然科学与工程技术类,公开通识/公选课目录参考,课程名/方向参考公开通识课资料;其余字段规则生成,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,75,49,80,58,70,48,0.688
GXK2026036,国学经典导读,国学经典导读,吴静华,1.5,公共选修课,人文与社会科学类,人文与社会科学类,东校区,周一第9-10节,教学楼A203,80,66,0.825,正常偏热,有一定竞争，建议提前加入备选,无限制,无限制,无,国学经典导读是一门公共选修课程，适合希望拓展跨学科知识面的学生。,平时参与30%;课程作业30%;期末报告40%,中,中,中,偶尔,否,否,适合对人文与社会科学类感兴趣、希望通过公共选修课拓展知识面的学生。,公共选修课;跨学科;报告;人文与社会科学类,公开通识/公选课目录参考,课程名/方向参考公开通识课资料;其余字段规则生成,截图不可见或公开资料未包含的字段，由脚本基于课程名、分类和稳定哈希规则推断生成,,80,63,85,72,90,73,0.8152
